row_number;Identifiant_de_l_etablissement;Nom_etablissement
528;0011258M;Lycée professionnel Lamartine
529;0011262S;Ecole élémentaire Parozet
530;0011264U;Ecole élémentaire La Forge
531;0011265V;Ecole élémentaire Jean Jaurès
532;0011266W;Le chat botté
533;0011269Z;Ecole élémentaire Milvendre
534;0011270A;Ecole élémentaire Olympe de Gouges
535;0011271B;Ecole primaire Les Vennes
536;0011272C;Ecole élémentaire Les Gentianes
537;0011273D;Ecole maternelle Janine Chabin
538;0011274E;Ecole primaire Françoise Dolto
539;0011275F;Collège Thomas Riboud
540;0011276G;Lycée du Val-de-Saône
541;0011278J;Ecole élémentaire Jacques Fert
542;0011280L;Section d'enseignement professionnel du Lycée polyvalent Xavier Bichat
543;0011282N;Ecole primaire privée Montessori
544;0011287U;Ecole primaire
545;0011288V;Circonscription d'inspection du 1er degré de Bourg-en-Bresse
546;0011289W;Ecole primaire privée Saint Louis-Saint Vincent
547;0011290X;Ecole primaire Claude Guichard
548;0011296D;Circonscription d'inspection du 1er degré de Villars-les-Dombes
549;0011297E;Ecole primaire
550;0011298F;Ecole primaire
551;0011300H;Collège de la Plaine de l'Ain
552;0011301J;Collège le Joran
553;0011308S;Ecole primaire
554;0011309T;Ecole primaire
555;0011313X;Ecole primaire
556;0011314Y;Ecole primaire
557;0011315Z;Ecole primaire
558;0011316A;Ecole primaire
559;0011317B;Ecole primaire
560;0011318C;Ecole primaire Le Bocage
561;0011325K;Collège Théodore Rosset
562;0011326L;Lycée polyvalent de la Côtière
563;0011327M;Ecole primaire
564;0011331S;Ecole primaire
565;0011332T;ECOLE PRIMAIRE PUBLIQUE PAUL PAINLEVE
566;0011333U;Collège Yvon Morandat
567;0011335W;Ecole primaire
568;0011336X;Section d'enseignement professionnel du Lycée polyvalent privé Jeanne d'Arc
569;0011339A;ECOLE DU VERGER
570;0011340B;Ecole élémentaire
571;0011344F;Ecole primaire
572;0011345G;Ecole élémentaire publique
573;0011346H;ECOLE PRIMAIRE PUBLIQUE
574;0011349L;Ecole primaire publique
575;0011356U;Institut Médico-Educatif poly-handicapés Les Muscaris
576;0011360Y;Collège Louis Armstrong
577;0011362A;Ecole primaire publique
578;0011363B;Ecole primaire publique Pomiers
579;0011364C;Ecole primaire publique Pierre Longue
580;0011366E;Section d'enseignement général et professionnel adapté du Collège du Sabine Zlatin
581;0011367F;Ecole primaire publique l'Alagnier
582;0011368G;Ecole primaire Le Peloux
583;0011369H;Ecole primaire publique Alphonse Daudet
584;0011370J;Ecole primaire publique Théodore Mercier
585;0011373M;Institut privé éducation motrice HANDAS
586;0011380V;Institut Médico-Educatif Henri Lafay
587;0011387C;Collège Lucie Aubrac
588;0011388D;Collège Le Paruthiol
589;0011389E;Ecole primaire publique
590;0011390F;Ecole primaire publique La Bretonniere
591;0011392H;ECOLE MATERNELLE PRIVEE LES TOURNESOLS
592;0011393J;Ecole élémentaire privée Saint-Joseph
593;0011394K;Institut Médico-Educatif La Côtière
594;0011397N;ECOLE PRIMAIRE  PRIVEE LES PETITS POLYGLOTTES
595;0011399R;Institut médico-éducatif La Découverte
596;0011400S;Institut médico-éducatif Thérèse Hérold
597;0011404W;Ecole primaire publique Boby Lapointe
598;0011406Y;Ecole primaire Guy de Maupassant
599;0011410C;Ecole primaire privée de l'ABCdaire
600;0011411D;Section d'enseignement professionnel du Lycée polyvalent Arbez Carme
601;0011412E;L'ECOLE ARC-EN-CIEL
602;0011415H;Collège du Val de Saône
603;0011419M;ECOLE PRIMAIRE PUBLIQUE ALICE
604;0011422R;Ecole primaire privée Montessori Mont et Sourire
605;0011423S;Ecole Les Tournesols
606;0011425U;Section d'enseignement professionnel du Lycée polyvalent international
607;0011426V;Collège privé Saint Joseph
608;0011429Y;Collège Chartreuse de Portes
609;0011432B;Ecole primaire publique la Diamanterie
610;0011440K;Ecole maternelle privée bilingue Montessori Les Tournesols
611;0011447T;Ecole Montessori Les chemins de traverse
612;0011449V;Institut médico-éducatif SAPHIR Peron
613;0011450W;Institut thérapeutique, éducatif et pédagogique de rééducation SAPHIR Gex
614;0011451X;ECOLE ALTERNATIVE DU PAYS DE GEX
615;0011455B;LES MINIS COLIBRIS
616;0011457D;Lycée Saint-Joseph
617;0011458E;Circonscription d'inspection du 1er degré de Poncin
618;0011463K;Collège privé Centre d'Etudes et Travaux Montessori
619;0011465M;Collège d'Ornex
620;0011466N;Section d'enseignement professionnel du Lycée polyvalent de la Côtière
621;0011471U;Ecole ouVerte
622;0011472V;Ecole BLOSSOM SCHOOL
623;0011474X;Maison d'éducation Pauline Marie Jaricot
624;0011475Y;Maison d'éducation Pauline Marie JARICOT
625;0011490P;Ecole technique privée Ecole de production La Passerelle
626;0019999N;Direction des services départementaux de l'éducation nationale de l'Ain
627;0020002S;Collège Louis Sandras
