Nom_etablissement,Type_etablissement,Libelle_departement,latitude,longitude,Restauration,rest_priority_score
Ecole Canadienne Internationale de Paris,École,Paris,48.87002074,2.31919807,0,0.6
E.P.PR ELLIPSE MONTESSORI ACADEMY 3 rue Amélie,Autre,Paris,48.85939966,2.30748003,0,0.6
Etablissement d'enseignement technique Institut Santé,Autre,Paris,48.86113413,2.37213241,0,0.6
E.M.PR LILY SCHOOL PARIS 55 rue Paul Barruel,Autre,Paris,48.8368547,2.30643758,0,0.6
E.P.PR ECOLE CANADIENNE INTERNATIONALE DE PARIS 91 boulevard Exelmans,École,Paris,48.84431275,2.25853488,0,0.6
E.P.PR ECOLE BILINGUE ALYE PARUSSA 70 rue Chardon Lagache,École,Paris,48.841889,2.2639324,0,0.6
E.M.PR LA CARAVELLE MONTESSORI SCHOOL 18 rue Saint Amand,Autre,Paris,48.83482576,2.30784193,0,0.6
Collège privé Diago,Collège,Paris,48.83343131,2.34235599,0,0.6
Ecole d'Esthétique et de Parfurmerie Silvya Terrade,École,Paris,48.87216599,2.30702945,0,0.6
E.P.PR MONTESSORI PARIS 17 33 boulevard Berthier,Autre,Paris,48.88799359,2.30010093,0,0.6
Collège privé Galilée la faculté des enfants,Collège,Paris,48.84188287,2.26425133,0,0.6
E.M.PR M 48 allée Darius Milhaud,Autre,Paris,48.88439732,2.390594,0,0.6
Ecole Maternelle Privée Pardess Hanna 12,École,Paris,48.83311105,2.39909226,0,0.6
E.M.PR LOUBAVITCH 17 rue de la Plaine,Autre,Paris,48.85123317,2.40485909,0,0.6
E.M.PR MA PETITE ECOLE MONTESSORI 7 rue Villafranca,École,Paris,48.83157748,2.30354891,0,0.6
E.M.PR CONCORDIA BILINGUAL SCHOOL 41 avenue de la Grande Armée,Autre,Paris,48.8753013,2.28911864,0,0.6
E.M.PR ETINCELLE MONTESSORI 4-6 rue Michel de Bourges,Autre,Paris,48.85419388,2.40036463,0,0.6
Collège privé Saint-Jean de Dieu,Collège,Paris,48.84335604,2.28727749,0,0.6
